sample_id,C,m,sigma_scale,life_cycles
0,9.892528396564254e-11,2.844804902014649,1.0126602255147674,227716.8783294744
1,8.601615258009125e-11,2.8234122288879564,1.044760920111309,252980.52982841674
2,1.03204331479742e-10,2.933400982345011,1.0136660628268437,174456.24277666595
3,1.0502942127735566e-10,2.9151854415295007,1.1119415833207211,136979.9929697298
4,7.727006218892317e-11,2.7495208452389672,1.0714893726235208,316844.98655888834
5,8.349907673412175e-11,3.002267825456374,0.9846236117641493,198189.91839317844
6,9.722726787040595e-11,2.8805805424649167,0.9840986283096466,230085.47712648674
7,9.296407111350161e-11,2.778906890478428,1.0234848359742676,277435.99760232685
8,9.583870888795884e-11,3.0088784114353877,0.9580990409787158,184435.53759863938
9,8.781077829529363e-11,2.9525675571596155,1.0583144153266244,172111.317885397
10,1.0444222055868315e-10,2.7635458008052085,1.0180800260921792,260459.275055223
11,1.0346680258011791e-10,3.0677182840257724,1.0128229455429267,124874.98507232993
12,9.663389469658768e-11,2.955879736836619,1.0343476833885408,165953.2301821536
13,1.0682151558689312e-10,2.8889803884374956,1.0861414941684528,154251.19427469283
14,1.0048808968561965e-10,3.049021880562178,1.0085477676093753,136438.55138009955
15,8.775079235632092e-11,2.9059297783829643,0.9943479814564308,232373.0062295233
16,9.954000752719199e-11,2.887191692489597,1.075435981166129,171121.10177483645
17,8.679472703204162e-11,2.8239699883978013,1.0483775207995567,247926.06024716614
18,1.0443312289254983e-10,2.948185043930708,0.9839510079808139,181397.00737412332
19,9.552071125453198e-11,2.937660296732398,1.000259322432951,193936.64452730495
20,9.42253213099655e-11,2.8914680139889715,1.00976904579694,214537.64466012514
21,8.946307637372216e-11,2.8110013646132397,1.0180906472302491,269925.7653468289
22,1.0773639685127069e-10,2.9029929854166077,0.9321700074530443,229955.06289848528
23,9.451651697213951e-11,2.8830201214237863,0.922875769609922,283124.4428005532
24,9.188805290723418e-11,2.75665256812658,0.9556304988998773,358641.5541872171
25,9.2619517915313e-11,2.7428187648675815,0.9517630778494329,372185.8290045215
26,1.0111016818131216e-10,2.946515337880977,0.9678087993013749,197527.4187211198
27,9.950826301789516e-11,2.629811168494831,1.0317355321045003,369554.9599303196
28,9.996223307132149e-11,2.910541052696126,0.9915535421837631,203328.3994718869
29,1.0013588162887568e-10,2.8421916942246175,1.0098197302505094,228253.23562413733
30,1.1655981696835644e-10,3.020824660687991,0.9387848294978869,156652.04137640158
31,9.209841584270769e-11,2.8406531790846126,0.9769178898539528,273708.32947061874
32,9.108246980091324e-11,2.9559484214251897,1.029362883087242,178569.44309074624
33,8.818778180882038e-11,2.8503086158762208,1.02974762290884,240218.56067765364
34,1.0191340245672476e-10,2.9013748153486145,0.9637713085906046,221544.512177604
35,1.0683813401012057e-10,2.9636836530920054,1.0080831193189776,158846.81559218495
36,9.49061044065132e-11,2.843744428367542,1.1099423926741165,183347.19460167113
37,8.793449782115974e-11,2.9896554884498405,0.9991201035372181,185825.57079904524
38,8.80849803293641e-11,2.7906302122893516,0.9653406526928777,334700.9120694203
39,1.0224569076311713e-10,2.9194592842558382,0.991311880531892,194588.8790659081
40,1.0313524004355305e-10,2.9822639722787856,1.0046088553763417,158748.67819971227
41,1.0121428097572988e-10,2.9560037491790334,0.9924415809654725,178991.58217576018
42,8.961110681002854e-11,3.0816444876735414,0.9984322649661749,145561.59902913411
43,9.822874870144052e-11,2.813656068268934,0.927827660153158,317104.86088861147
44,9.7120183767751e-11,2.7520850748651413,0.9518684762457025,346881.7488918095
45,9.809941052859852e-11,2.790566489150488,0.9925332381464251,278159.3323643922
46,1.0436571626830263e-10,2.956044256654844,0.9917366014988782,173934.33892010665
47,9.814651726823696e-11,2.939792293426938,0.971690536257,204447.60483882017
48,1.025175702054902e-10,2.900225665964742,0.9911493206961781,203625.99837584072
49,9.664875906709337e-11,2.777704295089287,1.0030507427707103,283089.5658968056
