a,KI
0.02,12211051.765600938
0.025,10550387.139285143
0.03,13361949.017304663
0.035,17824404.774859656
0.04,21870848.576610863
0.045,25367594.411372613
0.05,21550644.461274736
0.055,25153029.419569038
