a,DeltaK
0.02,10989946.589040846
0.025,9495348.42535663
0.03,12025754.115574198
0.035,16041964.29737369
0.04,19683763.718949776
0.045,22830834.97023535
0.05,19395580.01514726
0.055,22637726.477612138
