a,KI
1.0,5439786.659945264
20.0,12211051.765600938
25.0,10550387.139285143
30.0,13361949.017304663
35.0,17824404.774859656
40.0,21870848.576610863
45.0,25367594.411372613
50.0,21550644.461274736
55.0,25153029.419569038
