a,Kmax,Kmin,DeltaK,R
1.0,5439786.659945264,543978.6659945265,4895807.993950739,0.1
20.0,12211051.765600938,1221105.1765600939,10989946.589040846,0.1
25.0,10550387.139285143,1055038.7139285144,9495348.42535663,0.1
30.0,13361949.017304664,1336194.9017304666,12025754.115574198,0.1
35.0,17824404.774859656,1782440.4774859657,16041964.29737369,0.1
40.0,21870848.576610863,2187084.8576610866,19683763.718949776,0.1
45.0,25367594.411372613,2536759.4411372617,22830834.97023535,0.1
50.0,21550644.461274736,2155064.446127474,19395580.01514726,0.1
55.0,25153029.41956904,2515302.9419569043,22637726.477612138,0.1
