sample_id,C,m,sigma_scale,life_cycles,a_crit_m,failed_within_grid
0,9.892528396564254e-11,2.844804902014649,1.0126602255147674,283624724.81653625,44.02746275487984,True
1,8.601615258009125e-11,2.8234122288879564,1.044760920111309,313059511.8035607,42.94283751891987,True
2,1.03204331479742e-10,2.933400982345011,1.0136660628268437,218375423.72216856,43.99243477999867,True
3,1.0502942127735566e-10,2.9151854415295007,1.1119415833207211,168900466.03195223,40.87559541097026,True
4,7.727006218892317e-11,2.7495208452389672,1.0714893726235208,388516341.649921,42.089315017438366,True
5,8.349907673412175e-11,3.002267825456374,0.9846236117641493,263997108.67129517,,False
6,9.722726787040595e-11,2.8805805424649167,0.9840986283096466,305714961.15496635,,False
7,9.296407111350161e-11,2.778906890478428,1.0234848359742676,343535396.59343576,43.654115417514184,True
8,9.583870888795884e-11,3.0088784114353877,0.9580990409787158,245707499.0041921,,False
9,8.781077829529363e-11,2.9525675571596155,1.0583144153266244,214275793.52488425,42.504644330126446,True
10,1.0444222055868315e-10,2.7635458008052085,1.0180800260921792,322496262.2693347,43.83953817665004,True
11,1.0346680258011791e-10,3.0677182840257724,1.0128229455429267,157474899.8923763,44.02179136278732,True
12,9.663389469658768e-11,2.955879736836619,1.0343476833885408,207357551.2220166,43.28730499481105,True
13,1.0682151558689312e-10,2.8889803884374956,1.0861414941684528,190528502.50455952,41.63925318301295,True
14,1.0048808968561965e-10,3.049021880562178,1.0085477676093753,171993913.04288715,44.17140464047603,True
15,8.775079235632092e-11,2.9059297783829643,0.9943479814564308,291311756.81984174,44.67757053836155,True
16,9.954000752719199e-11,2.887191692489597,1.075435981166129,211660100.07651243,41.96688227777709,True
17,8.679472703204162e-11,2.8239699883978013,1.0483775207995567,306642208.2798909,42.82480222442754,True
18,1.0443312289254983e-10,2.948185043930708,0.9839510079808139,241366126.00789285,,False
19,9.552071125453198e-11,2.937660296732398,1.000259322432951,243323450.5042596,44.46510869089999,True
20,9.42253213099655e-11,2.8914680139889715,1.00976904579694,268067613.43104246,44.12853577189741,True
21,8.946307637372216e-11,2.8110013646132397,1.0180906472302491,335208271.91861504,43.83917186676667,True
22,1.0773639685127069e-10,2.9029929854166077,0.9321700074530443,305688585.62702227,,False
23,9.451651697213951e-11,2.8830201214237863,0.922875769609922,376207760.14547634,,False
24,9.188805290723418e-11,2.75665256812658,0.9556304988998773,475190799.13514185,,False
25,9.2619517915313e-11,2.7428187648675815,0.9517630778494329,492974102.2853751,,False
26,1.0111016818131216e-10,2.946515337880977,0.9678087993013749,262820177.5756657,,False
27,9.950826301789516e-11,2.629811168494831,1.0317355321045003,452417017.75024533,43.37480525387464,True
28,9.996223307132149e-11,2.910541052696126,0.9915535421837631,255080898.92731217,44.7788884095562,True
29,1.0013588162887568e-10,2.8421916942246175,1.0098197302505094,284381165.3392544,44.126758905353434,True
30,1.1655981696835644e-10,3.020824660687991,0.9387848294978869,208742378.94583273,,False
31,9.209841584270769e-11,2.8406531790846126,0.9769178898539528,363357896.73224306,,False
32,9.108246980091324e-11,2.9559484214251897,1.029362883087242,223285008.0765955,43.45466768990513,True
33,8.818778180882038e-11,2.8503086158762208,1.02974762290884,298473863.74090266,43.44169249818657,True
34,1.0191340245672476e-10,2.9013748153486145,0.9637713085906046,294497960.97281146,,False
35,1.0683813401012057e-10,2.9636836530920054,1.0080831193189776,199342492.24416453,44.187741834826184,True
36,9.49061044065132e-11,2.843744428367542,1.1099423926741165,225027393.66861725,40.93350063513096,True
37,8.793449782115974e-11,2.9896554884498405,0.9991201035372181,233844421.18391567,44.505858241286504,True
38,8.80849803293641e-11,2.7906302122893516,0.9653406526928777,443823146.31439257,,False
39,1.0224569076311713e-10,2.9194592842558382,0.991311880531892,244245855.84387884,44.78767716146233,True
40,1.0313524004355305e-10,2.9822639722787856,1.0046088553763417,199525945.55456746,44.310377110423815,True
41,1.0121428097572988e-10,2.9560037491790334,0.9924415809654725,225072354.28117964,44.74662897454699,True
42,8.961110681002854e-11,3.0816444876735414,0.9984322649661749,184065411.91383547,44.530507063232854,True
43,9.822874870144052e-11,2.813656068268934,0.927827660153158,420712476.20352507,,False
44,9.7120183767751e-11,2.7520850748651413,0.9518684762457025,459559511.052423,,False
45,9.809941052859852e-11,2.790566489150488,0.9925332381464251,346519044.18366826,44.74330266676972,True
46,1.0436571626830263e-10,2.956044256654844,0.9917366014988782,218737857.18188035,44.77223375880457,True
47,9.814651726823696e-11,2.939792293426938,0.971690536257,271990166.35170484,,False
48,1.025175702054902e-10,2.900225665964742,0.9911493206961781,255325856.75884685,44.79359154929499,True
49,9.664875906709337e-11,2.777704295089287,1.0030507427707103,351738788.35075724,44.365651617971665,True
50,9.877554622742386e-11,2.9666867293329062,1.0444706728262263,191646967.54733372,42.9523457766146,True
51,1.0206036696804999e-10,2.767529522234946,0.9950394132386975,349599508.99677736,44.652589148023644,True
52,8.20113041293856e-11,3.00589495823769,1.0199551602649126,225868585.58508733,43.77498534482951,True
53,9.293115632296991e-11,3.1757438423139868,0.9729199849283039,161466446.23569417,,False
54,9.148442251878917e-11,2.926645114657155,1.0286047861799241,239400217.62035084,43.480262601071466,True
55,8.986677265686392e-11,2.9483108135657745,1.0187865148806179,238085300.51072496,43.815188897077014,True
56,9.335863438822384e-11,2.8407140231104444,1.043290850158991,277551607.6635576,42.99105023850509,True
57,1.1035143658785021e-10,2.7089786678913184,1.0356730231222244,332015018.1004636,43.24307835392665,True
58,8.768802128934487e-11,2.8297280636969777,1.0294367811440572,316016195.37745494,43.452174755911194,True
59,1.0529547220407822e-10,2.780710475890125,0.995079129567111,328149998.387897,44.651155253721434,True
60,7.984445019248828e-11,2.7452995423584987,1.0122469613522234,448589055.4394959,44.04187472849471,True
61,9.278510371213656e-11,3.062235994199565,1.0531754464225762,157034404.78401205,42.669463035831285,True
62,9.756242942500806e-11,2.9172862518025773,0.9673962715298603,292767046.1467068,,False
63,1.0162773438104907e-10,2.9279687580613984,0.9685796110651568,272883300.39867854,,False
64,1.0282777516601141e-10,2.859097763480375,1.0090715698975181,266353599.096527,44.153005611842474,True
65,1.0361613345791929e-10,2.8727128917556564,1.0207639845132728,246917882.31749624,43.74721420586802,True
66,9.2652239306415e-11,2.9864550682239335,0.9587946750367997,267710813.7403419,,False
67,9.156142279042016e-11,2.8867662881304788,0.9962618718293346,290740386.36449146,44.60850663844236,True
