     Node ID,     X Coord,     Y Coord,           Y
        3990,  2.1269e+01, -9.3284e-03, -1.0727e-02
        3991,  2.1418e+01, -8.9552e-03, -1.0517e-02
        3992,  2.1567e+01, -8.5821e-03, -1.0303e-02
        3993,  2.1716e+01, -8.2090e-03, -1.0084e-02
        3994,  2.1866e+01, -7.8358e-03, -9.8586e-03
        3995,  2.2015e+01, -7.4627e-03, -9.6273e-03
        3996,  2.2164e+01, -7.0896e-03, -9.3895e-03
        3997,  2.2313e+01, -6.7164e-03, -9.1446e-03
        3998,  2.2463e+01, -6.3433e-03, -8.8921e-03
        3999,  2.2612e+01, -5.9701e-03, -8.6310e-03
        4000,  2.2761e+01, -5.5970e-03, -8.3607e-03
        4001,  2.2910e+01, -5.2239e-03, -8.0803e-03
        4002,  2.3060e+01, -4.8507e-03, -7.7887e-03
        4003,  2.3209e+01, -4.4776e-03, -7.4847e-03
        4004,  2.3358e+01, -4.1045e-03, -7.1667e-03
        4005,  2.3507e+01, -3.7313e-03, -6.8328e-03
        4006,  2.3657e+01, -3.3582e-03, -6.4804e-03
        4007,  2.3806e+01, -2.9851e-03, -6.1064e-03
        4008,  2.3955e+01, -2.6119e-03, -5.7066e-03
        4009,  2.4104e+01, -2.2388e-03, -5.2747e-03
        4010,  2.4254e+01, -1.8657e-03, -4.8030e-03
        4011,  2.4403e+01, -1.4925e-03, -4.2753e-03
        4012,  2.4552e+01, -1.1194e-03, -3.6800e-03
        4013,  2.4701e+01, -7.4627e-04, -2.9328e-03
        4014,  2.4851e+01, -3.7313e-04, -2.0776e-03
        4015,  2.4851e+01,  3.7313e-04,  2.1127e-03
        4016,  2.4701e+01,  7.4627e-04,  2.9639e-03
        4017,  2.4552e+01,  1.1194e-03,  3.7038e-03
        4018,  2.4403e+01,  1.4925e-03,  4.2956e-03
        4019,  2.4254e+01,  1.8657e-03,  4.8204e-03
        4020,  2.4104e+01,  2.2388e-03,  5.2913e-03
        4021,  2.3955e+01,  2.6119e-03,  5.7239e-03
        4022,  2.3806e+01,  2.9851e-03,  6.1241e-03
        4023,  2.3657e+01,  3.3582e-03,  6.4969e-03
        4024,  2.3507e+01,  3.7313e-03,  6.8483e-03
        4025,  2.3358e+01,  4.1045e-03,  7.1818e-03
        4026,  2.3209e+01,  4.4776e-03,  7.4989e-03
        4027,  2.3060e+01,  4.8507e-03,  7.8014e-03
        4028,  2.2910e+01,  5.2239e-03,  8.0912e-03
        4029,  2.2761e+01,  5.5970e-03,  8.3701e-03
        4030,  2.2612e+01,  5.9701e-03,  8.6397e-03
        4031,  2.2463e+01,  6.3433e-03,  8.9009e-03
        4032,  2.2313e+01,  6.7164e-03,  9.1523e-03
        4033,  2.2164e+01,  7.0896e-03,  9.3969e-03
        4034,  2.2015e+01,  7.4627e-03,  9.6353e-03
        4035,  2.1866e+01,  7.8358e-03,  9.8667e-03
        4036,  2.1716e+01,  8.2090e-03,  1.0091e-02
        4037,  2.1567e+01,  8.5821e-03,  1.0310e-02
        4038,  2.1418e+01,  8.9552e-03,  1.0524e-02
        4039,  2.1269e+01,  9.3284e-03,  1.0733e-02
        4124,  2.5000e+01,  0.0000e+00,  1.6059e-05
