     Node ID,     X Coord,     Y Coord,           Y
        7423,  4.7747e+01,  1.6094e-03,  9.0836e-03
        7424,  4.7597e+01,  1.7167e-03,  9.3815e-03
        7425,  4.7446e+01,  1.8240e-03,  9.6699e-03
        7426,  4.7296e+01,  1.9313e-03,  9.9497e-03
        7427,  4.7146e+01,  2.0386e-03,  1.0222e-02
        7428,  4.6996e+01,  2.1459e-03,  1.0486e-02
        7429,  4.6845e+01,  2.2532e-03,  1.0743e-02
        7430,  4.6695e+01,  2.3605e-03,  1.0994e-02
        7431,  4.6545e+01,  2.4678e-03,  1.1238e-02
        7432,  4.6395e+01,  2.5751e-03,  1.1477e-02
        7433,  4.6245e+01,  2.6824e-03,  1.1710e-02
        7434,  4.6094e+01,  2.7897e-03,  1.1939e-02
        7435,  4.5944e+01,  2.8970e-03,  1.2163e-02
        7436,  4.5794e+01,  3.0043e-03,  1.2382e-02
        7437,  4.5644e+01,  3.1116e-03,  1.2596e-02
        7438,  4.5494e+01,  3.2189e-03,  1.2807e-02
        7439,  4.5343e+01,  3.3262e-03,  1.3014e-02
        7440,  4.5193e+01,  3.4335e-03,  1.3218e-02
        7441,  4.5043e+01,  3.5408e-03,  1.3418e-02
        7442,  4.4893e+01,  3.6481e-03,  1.3614e-02
        7443,  4.4742e+01,  3.7554e-03,  1.3808e-02
        7444,  4.4592e+01,  3.8627e-03,  1.3998e-02
        7445,  4.4442e+01,  3.9700e-03,  1.4185e-02
        7446,  4.4292e+01,  4.0773e-03,  1.4369e-02
        7447,  4.4142e+01,  4.1845e-03,  1.4551e-02
        7448,  4.3991e+01,  4.2918e-03,  1.4730e-02
        7449,  4.3841e+01,  4.3991e-03,  1.4906e-02
        7450,  4.3691e+01,  4.5064e-03,  1.5080e-02
        7451,  4.3541e+01,  4.6137e-03,  1.5252e-02
        7452,  4.3391e+01,  4.7210e-03,  1.5421e-02
        7453,  4.3240e+01,  4.8283e-03,  1.5588e-02
        7454,  4.3090e+01,  4.9356e-03,  1.5752e-02
        7455,  4.2940e+01,  5.0429e-03,  1.5915e-02
        7456,  4.2790e+01,  5.1502e-03,  1.6076e-02
        7457,  4.2639e+01,  5.2575e-03,  1.6234e-02
        7458,  4.2489e+01,  5.3648e-03,  1.6390e-02
        7459,  4.2339e+01,  5.4721e-03,  1.6545e-02
        7460,  4.2189e+01,  5.5794e-03,  1.6698e-02
        7461,  4.2039e+01,  5.6867e-03,  1.6849e-02
        7462,  4.1888e+01,  5.7940e-03,  1.6998e-02
        7463,  4.1738e+01,  5.9013e-03,  1.7146e-02
        7464,  4.1588e+01,  6.0086e-03,  1.7292e-02
        7465,  4.1438e+01,  6.1159e-03,  1.7436e-02
        7466,  4.1288e+01,  6.2232e-03,  1.7579e-02
        7467,  4.1137e+01,  6.3305e-03,  1.7720e-02
        7468,  4.0987e+01,  6.4378e-03,  1.7859e-02
        7469,  4.0837e+01,  6.5451e-03,  1.7998e-02
        7470,  4.0687e+01,  6.6524e-03,  1.8134e-02
        7471,  4.0536e+01,  6.7597e-03,  1.8269e-02
        7472,  4.0386e+01,  6.8670e-03,  1.8403e-02
        7473,  4.0236e+01,  6.9742e-03,  1.8535e-02
        7474,  4.0086e+01,  7.0815e-03,  1.8666e-02
        7475,  3.9936e+01,  7.1888e-03,  1.8796e-02
        7476,  3.9785e+01,  7.2961e-03,  1.8924e-02
        7477,  3.9635e+01,  7.4034e-03,  1.9051e-02
        7478,  3.9485e+01,  7.5107e-03,  1.9177e-02
        7479,  3.9335e+01,  7.6180e-03,  1.9302e-02
        7480,  3.9185e+01,  7.7253e-03,  1.9425e-02
        7481,  3.9034e+01,  7.8326e-03,  1.9547e-02
        7482,  3.8884e+01,  7.9399e-03,  1.9668e-02
        7483,  3.8734e+01,  8.0472e-03,  1.9788e-02
        7484,  3.8584e+01,  8.1545e-03,  1.9907e-02
        7485,  3.8433e+01,  8.2618e-03,  2.0025e-02
        7486,  3.8283e+01,  8.3691e-03,  2.0141e-02
        7487,  3.8133e+01,  8.4764e-03,  2.0257e-02
        7488,  3.7983e+01,  8.5837e-03,  2.0371e-02
        7489,  3.7833e+01,  8.6910e-03,  2.0485e-02
        7490,  3.7682e+01,  8.7983e-03,  2.0598e-02
        7491,  3.7532e+01,  8.9056e-03,  2.0709e-02
        7492,  3.7382e+01,  9.0129e-03,  2.0819e-02
        7493,  3.7232e+01,  9.1202e-03,  2.0929e-02
        7494,  3.7082e+01,  9.2275e-03,  2.1037e-02
        7495,  3.6931e+01,  9.3348e-03,  2.1145e-02
        7496,  3.6781e+01,  9.4421e-03,  2.1251e-02
        7684,  5.0000e+01,  0.0000e+00,  6.2441e-05
