     Node ID,     X Coord,     Y Coord,           Y
        3114,  1.6481e+01, -1.5741e-02, -7.7513e-03
        3115,  1.6630e+01, -1.4815e-02, -7.5321e-03
        3116,  1.6778e+01, -1.3889e-02, -7.3057e-03
        3117,  1.6926e+01, -1.2963e-02, -7.0705e-03
        3118,  1.7074e+01, -1.2037e-02, -6.8243e-03
        3119,  1.7222e+01, -1.1111e-02, -6.5667e-03
        3120,  1.7370e+01, -1.0185e-02, -6.2975e-03
        3121,  1.7519e+01, -9.2593e-03, -6.0144e-03
        3122,  1.7667e+01, -8.3333e-03, -5.7130e-03
        3123,  1.7815e+01, -7.4074e-03, -5.3909e-03
        3124,  1.7963e+01, -6.4815e-03, -5.0454e-03
        3125,  1.8111e+01, -5.5556e-03, -4.6721e-03
        3126,  1.8259e+01, -4.6296e-03, -4.2634e-03
        3127,  1.8407e+01, -3.7037e-03, -3.8031e-03
        3128,  1.8556e+01, -2.7778e-03, -3.2795e-03
        3129,  1.8704e+01, -1.8519e-03, -2.6245e-03
        3130,  1.8852e+01, -9.2593e-04, -1.8554e-03
        3131,  1.8852e+01,  9.2593e-04,  1.8667e-03
        3132,  1.8704e+01,  1.8519e-03,  2.6243e-03
        3133,  1.8556e+01,  2.7778e-03,  3.2881e-03
        3134,  1.8407e+01,  3.7037e-03,  3.8158e-03
        3135,  1.8259e+01,  4.6296e-03,  4.2779e-03
        3136,  1.8111e+01,  5.5556e-03,  4.6873e-03
        3137,  1.7963e+01,  6.4815e-03,  5.0615e-03
        3138,  1.7815e+01,  7.4074e-03,  5.4051e-03
        3139,  1.7667e+01,  8.3333e-03,  5.7257e-03
        3140,  1.7519e+01,  9.2593e-03,  6.0269e-03
        3141,  1.7370e+01,  1.0185e-02,  6.3104e-03
        3142,  1.7222e+01,  1.1111e-02,  6.5801e-03
        3143,  1.7074e+01,  1.2037e-02,  6.8367e-03
        3144,  1.6926e+01,  1.2963e-02,  7.0819e-03
        3145,  1.6778e+01,  1.3889e-02,  7.3172e-03
        3146,  1.6630e+01,  1.4815e-02,  7.5437e-03
        3147,  1.6481e+01,  1.5741e-02,  7.7626e-03
        3200,  1.9000e+01,  0.0000e+00,  1.3167e-05
