     Node ID,     X Coord,     Y Coord,           Y
        6634,  3.2515e+01, -7.4850e-03, -1.6023e-02
        6635,  3.2665e+01, -7.3353e-03, -1.5874e-02
        6636,  3.2814e+01, -7.1856e-03, -1.5723e-02
        6637,  3.2964e+01, -7.0359e-03, -1.5570e-02
        6638,  3.3114e+01, -6.8862e-03, -1.5415e-02
        6639,  3.3263e+01, -6.7365e-03, -1.5258e-02
        6640,  3.3413e+01, -6.5868e-03, -1.5098e-02
        6641,  3.3563e+01, -6.4371e-03, -1.4937e-02
        6642,  3.3713e+01, -6.2874e-03, -1.4773e-02
        6643,  3.3862e+01, -6.1377e-03, -1.4606e-02
        6644,  3.4012e+01, -5.9880e-03, -1.4437e-02
        6645,  3.4162e+01, -5.8383e-03, -1.4266e-02
        6646,  3.4311e+01, -5.6886e-03, -1.4091e-02
        6647,  3.4461e+01, -5.5389e-03, -1.3914e-02
        6648,  3.4611e+01, -5.3892e-03, -1.3734e-02
        6649,  3.4760e+01, -5.2395e-03, -1.3551e-02
        6650,  3.4910e+01, -5.0898e-03, -1.3365e-02
        6651,  3.5060e+01, -4.9401e-03, -1.3176e-02
        6652,  3.5210e+01, -4.7904e-03, -1.2983e-02
        6653,  3.5359e+01, -4.6407e-03, -1.2787e-02
        6654,  3.5509e+01, -4.4910e-03, -1.2587e-02
        6655,  3.5659e+01, -4.3413e-03, -1.2383e-02
        6656,  3.5808e+01, -4.1916e-03, -1.2175e-02
        6657,  3.5958e+01, -4.0419e-03, -1.1962e-02
        6658,  3.6108e+01, -3.8922e-03, -1.1745e-02
        6659,  3.6257e+01, -3.7425e-03, -1.1524e-02
        6660,  3.6407e+01, -3.5928e-03, -1.1297e-02
        6661,  3.6557e+01, -3.4431e-03, -1.1065e-02
        6662,  3.6707e+01, -3.2934e-03, -1.0827e-02
        6663,  3.6856e+01, -3.1437e-03, -1.0583e-02
        6664,  3.7006e+01, -2.9940e-03, -1.0332e-02
        6665,  3.7156e+01, -2.8443e-03, -1.0074e-02
        6666,  3.7305e+01, -2.6946e-03, -9.8095e-03
        6667,  3.7455e+01, -2.5449e-03, -9.5362e-03
        6668,  3.7605e+01, -2.3952e-03, -9.2539e-03
        6669,  3.7754e+01, -2.2455e-03, -8.9617e-03
        6670,  3.7904e+01, -2.0958e-03, -8.6588e-03
        6671,  3.8054e+01, -1.9461e-03, -8.3444e-03
        6672,  3.8204e+01, -1.7964e-03, -8.0166e-03
        6673,  3.8353e+01, -1.6467e-03, -7.6738e-03
        6674,  3.8503e+01, -1.4970e-03, -7.3140e-03
        6675,  3.8653e+01, -1.3473e-03, -6.9345e-03
        6676,  3.8802e+01, -1.1976e-03, -6.5321e-03
        6677,  3.8952e+01, -1.0479e-03, -6.1021e-03
        6678,  3.9102e+01, -8.9820e-04, -5.6390e-03
        6679,  3.9251e+01, -7.4850e-04, -5.1338e-03
        6680,  3.9401e+01, -5.9880e-04, -4.5695e-03
        6681,  3.9551e+01, -4.4910e-04, -3.9311e-03
        6682,  3.9701e+01, -2.9940e-04, -3.1380e-03
        6683,  3.9850e+01, -1.4970e-04, -2.2091e-03
        6684,  3.9850e+01,  1.4970e-04,  2.2390e-03
        6685,  3.9701e+01,  2.9940e-04,  3.1454e-03
        6686,  3.9551e+01,  4.4910e-04,  3.9259e-03
