a,DeltaK
0.01,9185005.980409708
0.015,12229725.22752643
0.02,14981671.390809938
0.025,17739330.19994654
0.03,20966401.968702327
0.035,24356730.80790536
0.04,27609986.950811137
0.045,30898949.93815812
0.05,35591927.54045512
0.055,40053469.9457261
