sample_id,C,m,sigma_scale,life_cycles,a_crit_m,failed_within_grid
0,9.892528396564254e-11,2.844804902014649,1.0126602255147674,209877459.1751997,31.846877190890698,True
1,8.601615258009125e-11,2.8234122288879564,1.044760920111309,231511483.4006414,30.84007429347298,True
2,1.03204331479742e-10,2.933400982345011,1.0136660628268437,161885500.75159281,31.814362488639805,True
3,1.0502942127735566e-10,2.9151854415295007,1.1119415833207211,124665396.23965529,28.86657925040481,True
4,7.727006218892317e-11,2.7495208452389672,1.0714893726235208,286870143.57837826,30.0477924075161,True
5,8.349907673412175e-11,3.002267825456374,0.9846236117641493,185735335.63189453,32.77992147891758,True
6,9.722726787040595e-11,2.8805805424649167,0.9840986283096466,213695771.10930035,32.797899730031986,True
7,9.296407111350161e-11,2.778906890478428,1.0234848359742676,253886291.8323419,31.50031768946969,True
8,9.583870888795884e-11,3.0088784114353877,0.9580990409787158,173675412.35085475,33.71291453594309,True
9,8.781077829529363e-11,2.9525675571596155,1.0583144153266244,158878394.59028006,30.433321659033805,True
10,1.0444222055868315e-10,2.7635458008052085,1.0180800260921792,238286743.82467052,31.672436283944336,True
11,1.0346680258011791e-10,3.0677182840257724,1.0128229455429267,117113417.95233017,31.841612723679507,True
12,9.663389469658768e-11,2.955879736836619,1.0343476833885408,153778331.5274568,31.15982607620414,True
13,1.0682151558689312e-10,2.8889803884374956,1.0861414941684528,140882311.23251206,29.61130561301153,True
14,1.0048808968561965e-10,3.049021880562178,1.0085477676093753,127852007.90992665,31.980491182777712,True
15,8.775079235632092e-11,2.9059297783829643,0.9943479814564308,215853079.5700386,32.450339454484336,True
16,9.954000752719199e-11,2.887191692489597,1.075435981166129,156663438.19587427,29.930812639536228,True
17,8.679472703204162e-11,2.8239699883978013,1.0483775207995567,226762355.873116,30.73050808336424,True
18,1.0443312289254983e-10,2.948185043930708,0.9839510079808139,169332080.37203872,32.80295849806489,True
19,9.552071125453198e-11,2.937660296732398,1.000259322432951,180409924.4967847,32.253121838184185,True
20,9.42253213099655e-11,2.8914680139889715,1.00976904579694,198551936.7394741,31.9406981744067,True
21,8.946307637372216e-11,2.8110013646132397,1.0180906472302491,247882990.46765712,31.672096256956486,True
22,1.0773639685127069e-10,2.9029929854166077,0.9321700074530443,215949137.7023753,34.67628094012324,True
23,9.451651697213951e-11,2.8830201214237863,0.922875769609922,265990767.23403022,35.036243777859355,True
24,9.188805290723418e-11,2.75665256812658,0.9556304988998773,331884114.95449847,33.802379053830634,True
25,9.2619517915313e-11,2.7428187648675815,0.9517630778494329,344356101.874848,33.94347459854013,True
26,1.0111016818131216e-10,2.946515337880977,0.9678087993013749,184869595.4655457,33.365443069530535,True
