a,KI
1.0,5444485.7061650185
10.0,10205562.20045523
15.0,13588583.586140478
20.0,16646301.545344377
25.0,19710366.88882949
30.0,23296002.18744703
35.0,27063034.231005955
40.0,30677763.278679036
45.0,34332166.59795347
50.0,39546586.15606124
55.0,44503855.495251216
