JK_relative_residual,J_list,J_ref,J_relative_span,KI_list,KI_ref,KI_relative_span,Y_est,best_idx,best_r_out,lc_tip,r_in,r_out_list,run_dir,run_name
0.0,"[13273.936498295208, 13303.011783087131, 13329.924617698607, 13365.453677626701, 13401.183362400488, 13432.459848376124, 13458.564560359688, 13445.803640414972, 13411.894879481406, 13381.279889997788, 13352.812464272158]",13458.564560359688,0.013801028801482384,"[31150036.244367033, 31184133.166462544, 31215660.96615236, 31257233.78411007, 31298985.66713426, 31335488.107197158, 31365922.10285381, 31351048.564830083, 31311491.751273856, 31275734.363222204, 31242448.545821354]",31365922.10285381,0.0069035640143951076,1.7696326528800455,6,0.024,0.0015,0.008,"[0.012, 0.014, 0.016, 0.018, 0.02, 0.022, 0.024, 0.026, 0.028, 0.03, 0.032]",Data/New Data/meshrun_20260316_223804,meshrun_20260316_223804
1.5839468351237376e-16,"[11627.950522239913, 11617.246589664768, 11558.651608394783, 11522.728640377309, 11496.006393492626, 11483.904403923743, 11477.411985303279, 11519.19369602739, 11573.902903908805, 11656.197751770116, 11750.311206706423]",11483.904403923743,0.023584292551363295,"[29154814.06518892, 29141391.965801746, 29067807.49512523, 29022602.6333198, 28988930.08312502, 28973667.560853004, 28965476.279972848, 29018150.512732584, 29086978.22524254, 29190204.789524782, 29307810.378979858]",28973667.560853004,0.011770757016304367,1.6346641435008793,5,0.022,0.003,0.008,"[0.012, 0.014, 0.016, 0.018, 0.02, 0.022, 0.024, 0.026, 0.028, 0.03, 0.032]",Data/New Data/meshrun_20260316_225449,meshrun_20260316_225449
0.0,"[13564.35997150975, 13508.366076229102, 13466.515304801882, 13425.882465319093, 13401.97689384691, 13384.415643846196, 13361.297430157483, 13340.288226554416, 13318.502361783483, 13287.511175500862, 13257.071151592385]",13384.415643846196,0.022945048299059863,"[31488961.778968878, 31423901.09729133, 31375185.55771452, 31327815.248031992, 31299912.315215982, 31279398.708497528, 31252373.384184953, 31227793.219520457, 31202283.93317343, 31165960.06750174, 31130240.943195466]",31279398.708497528,0.011464931068301253,1.7647510930971446,5,0.022,0.0025,0.008,"[0.012, 0.014, 0.016, 0.018, 0.02, 0.022, 0.024, 0.026, 0.028, 0.03, 0.032]",Data/New Data/meshrun_20260316_230036,meshrun_20260316_230036
0.0,"[12713.160579421974, 12692.230580664005, 12649.625606042582, 12611.338587568674, 12580.260109033825, 12554.529901259713, 12525.698540900688, 12503.366526693944, 12476.06210116119, 12454.048705410538, 12445.391090376785]",12454.048705410538,0.021312175378795564,"[30484947.734180983, 30459843.326034013, 30408676.916329537, 30362622.59343336, 30325187.781287894, 30294160.093689427, 30259354.972303033, 30232368.301231835, 30199340.05230715, 30172685.667098153, 30162196.350838628]",30172685.667098153,0.010649899446709377,1.7023114961037462,9,0.03,0.002,0.008,"[0.012, 0.014, 0.016, 0.018, 0.02, 0.022, 0.024, 0.026, 0.028, 0.03, 0.032]",Data/New Data/meshrun_20260316_230226,meshrun_20260316_230226
0.0,"[12807.14652235159, 12834.596983770236, 12858.097520230836, 12876.27146932859, 12890.508507115952, 12902.305600355694, 12908.393824250557, 12902.269657653334, 12887.994067252997, 12879.724663975501, 12877.130224463808]",12908.393824250557,0.007863899256597919,"[30597424.90445726, 30630198.16314619, 30658227.749315094, 30679886.642683674, 30696843.027747594, 30710886.33344862, 30718131.267261617, 30710843.55686862, 30693848.998067904, 30684000.275984373, 30680909.6900386]",30718131.267261617,0.003934585630738251,1.7330849687041643,6,0.024,0.001,0.008,"[0.012, 0.014, 0.016, 0.018, 0.02, 0.022, 0.024, 0.026, 0.028, 0.03, 0.032]",Data/New Data/meshrun_20260316_230602,meshrun_20260316_230602
0.0,"[12409.666784295609, 12425.152392888816, 12436.839501115976, 12446.673710834013, 12456.613639720596, 12465.60572129657, 12473.279069786067, 12459.938779194592, 12403.729475481226, 12371.161940683372, 12353.951230845561]",12473.279069786067,0.009601910356929592,"[30118875.177071422, 30137661.48725167, 30151831.9100445, 30163750.56689679, 30175792.56728107, 30186682.133463744, 30195971.585649658, 30179819.826485455, 30111669.243960515, 30072112.294681836, 30051186.914576445]",30195971.585649658,0.00480366068773527,1.7036252633727562,6,0.024,0.00075,0.008,"[0.012, 0.014, 0.016, 0.018, 0.02, 0.022, 0.024, 0.026, 0.028, 0.03, 0.032]",Data/New Data/meshrun_20260316_232741,meshrun_20260316_232741
