     Node ID,     X Coord,     Y Coord,           Y
       11694,  6.1697e+01,  1.6517e-03,  1.0476e-02
       11695,  6.1547e+01,  1.7267e-03,  1.0715e-02
       11696,  6.1396e+01,  1.8018e-03,  1.0948e-02
       11697,  6.1246e+01,  1.8769e-03,  1.1177e-02
       11698,  6.1096e+01,  1.9520e-03,  1.1401e-02
       11699,  6.0946e+01,  2.0270e-03,  1.1621e-02
       11700,  6.0796e+01,  2.1021e-03,  1.1837e-02
       11701,  6.0646e+01,  2.1772e-03,  1.2048e-02
       11702,  6.0495e+01,  2.2523e-03,  1.2257e-02
       11703,  6.0345e+01,  2.3273e-03,  1.2462e-02
       11704,  6.0195e+01,  2.4024e-03,  1.2663e-02
       11705,  6.0045e+01,  2.4775e-03,  1.2862e-02
       11706,  5.9895e+01,  2.5526e-03,  1.3057e-02
       11707,  5.9745e+01,  2.6276e-03,  1.3250e-02
       11708,  5.9595e+01,  2.7027e-03,  1.3439e-02
       11709,  5.9444e+01,  2.7778e-03,  1.3627e-02
       11710,  5.9294e+01,  2.8529e-03,  1.3811e-02
       11711,  5.9144e+01,  2.9279e-03,  1.3993e-02
       11712,  5.8994e+01,  3.0030e-03,  1.4173e-02
       11713,  5.8844e+01,  3.0781e-03,  1.4351e-02
       11714,  5.8694e+01,  3.1532e-03,  1.4527e-02
       11715,  5.8544e+01,  3.2282e-03,  1.4700e-02
       11716,  5.8393e+01,  3.3033e-03,  1.4872e-02
       11717,  5.8243e+01,  3.3784e-03,  1.5041e-02
       11718,  5.8093e+01,  3.4535e-03,  1.5209e-02
       11719,  5.7943e+01,  3.5285e-03,  1.5374e-02
       11720,  5.7793e+01,  3.6036e-03,  1.5538e-02
       11721,  5.7643e+01,  3.6787e-03,  1.5700e-02
       11722,  5.7492e+01,  3.7538e-03,  1.5860e-02
       11723,  5.7342e+01,  3.8288e-03,  1.6018e-02
       11724,  5.7192e+01,  3.9039e-03,  1.6175e-02
       11725,  5.7042e+01,  3.9790e-03,  1.6330e-02
       11726,  5.6892e+01,  4.0541e-03,  1.6484e-02
       11727,  5.6742e+01,  4.1291e-03,  1.6636e-02
       11728,  5.6592e+01,  4.2042e-03,  1.6787e-02
       11729,  5.6441e+01,  4.2793e-03,  1.6936e-02
       11730,  5.6291e+01,  4.3544e-03,  1.7084e-02
       11731,  5.6141e+01,  4.4294e-03,  1.7231e-02
       11732,  5.5991e+01,  4.5045e-03,  1.7376e-02
       11733,  5.5841e+01,  4.5796e-03,  1.7520e-02
       11734,  5.5691e+01,  4.6547e-03,  1.7663e-02
       11735,  5.5541e+01,  4.7297e-03,  1.7805e-02
       11736,  5.5390e+01,  4.8048e-03,  1.7945e-02
       11737,  5.5240e+01,  4.8799e-03,  1.8084e-02
       11738,  5.5090e+01,  4.9550e-03,  1.8222e-02
       11739,  5.4940e+01,  5.0300e-03,  1.8359e-02
       11740,  5.4790e+01,  5.1051e-03,  1.8495e-02
       11741,  5.4640e+01,  5.1802e-03,  1.8629e-02
       11742,  5.4489e+01,  5.2553e-03,  1.8762e-02
       11743,  5.4339e+01,  5.3303e-03,  1.8895e-02
       11744,  5.4189e+01,  5.4054e-03,  1.9026e-02
       11745,  5.4039e+01,  5.4805e-03,  1.9156e-02
       11746,  5.3889e+01,  5.5556e-03,  1.9286e-02
       11747,  5.3739e+01,  5.6306e-03,  1.9414e-02
       11748,  5.3589e+01,  5.7057e-03,  1.9541e-02
       11749,  5.3438e+01,  5.7808e-03,  1.9667e-02
       11750,  5.3288e+01,  5.8559e-03,  1.9793e-02
       11751,  5.3138e+01,  5.9309e-03,  1.9917e-02
       11752,  5.2988e+01,  6.0060e-03,  2.0040e-02
       11753,  5.2838e+01,  6.0811e-03,  2.0163e-02
       12048,  6.5000e+01,  0.0000e+00,  2.8699e-05
