r_m,uy_upper_m,uy_lower_m
4.534242046269621e-05,-3.193070923093274e-07,-1.6020905770637027e-06
5.3157317755653244e-05,4.967034421706144e-08,-1.6020905770637027e-06
5.883310277160492e-05,6.138157382804201e-07,-1.6020905770637027e-06
5.9420760563588804e-05,-8.088717477374537e-09,-1.6020905770637027e-06
6.220104800569448e-05,3.042916999723377e-07,-1.6020905770637027e-06
9.068484092544793e-05,-1.2318855332036033e-07,-1.66962671623899e-06
0.00014346229714934378,2.414423265181991e-07,-1.5384892198714691e-06
0.00017466690566989018,1.537074706408415e-08,-1.2888034742514607e-06
0.00018509506644859286,1.03179367745948e-08,-1.2888034742514607e-06
0.00021227948705065947,2.0637831313429066e-07,-1.5852565055895103e-06
0.00021640167591596704,1.5880441963734325e-07,-1.5852565055895103e-06
0.00022052386478127461,8.521759508321501e-08,-1.5852565055895103e-06
0.00023789923131994906,3.633403688255437e-07,-1.5852565055895103e-06
0.0003233165326963494,3.8113250811907046e-07,-1.6048468700500476e-06
0.0003288563415033141,5.894889906618403e-07,-1.6048468700500476e-06
0.0003464010187916866,3.764918539439682e-07,-1.6048468700500476e-06
0.00034838195371439395,3.367744439866525e-07,-1.6048468700500476e-06
0.0003493338113398081,2.665170756485777e-07,-1.6048468700500476e-06
0.0003498483499884686,2.690972962703517e-07,-1.6048468700500476e-06
0.0003503628886371013,2.8827860137028944e-07,-1.6048468700500476e-06
0.00048218448489906196,8.654778636778588e-07,-1.9027607259289528e-06
0.0005094651698651087,4.6368095579056227e-07,-1.9027607259289528e-06
0.0005119845026613223,5.089569360034299e-07,-1.9027607259289528e-06
0.0005145038354574527,5.605239260363544e-07,-1.9027607259289528e-06
0.000516732943437348,4.442807915887173e-07,-1.9027607259289528e-06
0.000524000717009615,4.4262911898343116e-07,-1.9027607259289528e-06
0.0005255253002057203,6.096073176294001e-07,-1.9027607259289528e-06
0.0005365467649539601,6.068612430281594e-07,-1.9027607259289528e-06
0.0006685674510932271,6.066104596917117e-07,-1.9167245138843567e-06
0.0006711897105204645,8.390560050216461e-07,-1.9167245138843567e-06
0.000675587051608223,6.740002942539044e-07,-1.9167245138843567e-06
0.0006826066521232743,7.343527862727712e-07,-1.9167245138843567e-06
0.0006836175368863662,5.653067633912078e-07,-1.9167245138843567e-06
0.000698667622679533,5.614967150570831e-07,-1.9167245138843567e-06
0.0007398104405804962,7.649354500512904e-07,-1.8682026336038588e-06
0.0007567375150688282,8.625818332176212e-07,-1.8957067664707056e-06
0.0007684123348090932,7.187397184554935e-07,-1.8957067664707056e-06
0.0007754319353241446,8.232932359722594e-07,-1.8957067664707056e-06
0.0008500384343197998,6.730719884229353e-07,-1.9759844696004567e-06
0.000860194936141867,9.396234947430478e-07,-1.9759844696004567e-06
0.0008733345283493954,6.710512636716256e-07,-1.9759844696004567e-06
0.0009233909974941112,9.285668024047057e-07,-1.975194506001425e-06
0.000926587224006209,8.304232080789946e-07,-1.975194506001425e-06
0.000977572661432502,8.044144752362433e-07,-1.9631862608122066e-06
0.0010423466123103131,1.126020831601704e-06,-1.981614170941773e-06
0.0010480014340192578,8.008925807344174e-07,-1.981614170941773e-06
0.0010610410325654906,9.98437693242175e-07,-1.981614170941773e-06
0.0011561948544173972,9.782875064033262e-07,-2.1030333359165967e-06
0.0011981464599218339,1.4469778275537709e-06,-1.992231186818191e-06
0.0012226683396890925,9.680165506584114e-07,-1.977706286694831e-06
0.0012244982884785927,1.2336092851305746e-06,-1.977706286694831e-06
0.001271602487185719,1.3737680421193954e-06,-1.9920157681319717e-06
0.0012886869437575,1.3675048197289655e-06,-1.9920157681319717e-06
0.0012962534878551701,1.1724327704556765e-06,-1.9920157681319717e-06
0.0013062795477200018,1.3704369573591299e-06,-1.9920157681319717e-06
0.0013973352453590104,1.1470510788896914e-06,-1.9610708269647405e-06
0.0014594277765345998,1.490778047147535e-06,-1.9610708269647405e-06
0.0016279889499395406,1.401615131320867e-06,-2.2830056281380703e-06
0.001644104447949768,1.3910618384796273e-06,-2.2830056281380703e-06
0.0017721912375456006,1.6083453726882693e-06,-2.1096440710223625e-06
0.001782711993547903,1.6412790003630732e-06,-2.1096440710223625e-06
0.001826996011950105,1.7173251155921711e-06,-2.1146319312736695e-06
0.0018593136636680108,1.887240962543948e-06,-2.1146319312736695e-06
0.0023209065306145638,2.1711584858998807e-06,-2.318171540502221e-06
0.0023453143078907557,2.228281161880155e-06,-2.318171540502221e-06
0.002369722085167003,2.3219273590042894e-06,-2.318171540502221e-06
0.0024995289668611614,2.483916622719677e-06,-2.318171540502221e-06
0.002615886361089101,2.5693631972128582e-06,-2.318171540502221e-06
0.003311056737491491,2.5854254575232006e-06,-3.090043336194645e-06
0.0033359020485755064,2.6655834608962147e-06,-3.090043336194645e-06
0.0033741968471256156,2.8131669759784096e-06,-3.090043336194645e-06
0.0036014929587959987,2.9827806640045547e-06,-3.090043336194645e-06
0.003852187923652453,3.1734072704012898e-06,-2.9739163054162656e-06
0.003948034899637298,3.0203406390746586e-06,-2.9739163054162656e-06
0.004947893061679864,2.975398066840322e-06,-3.703102584190592e-06
0.0052418886396354,3.389638886053372e-06,-3.476217063561552e-06
0.006812941034339395,3.5229151168929205e-06,-3.9767155211736556e-06
0.007339015755482459,3.6744534507944657e-06,-3.915823712442726e-06
0.009183460314118458,3.910290514724295e-06,-4.23743495726021e-06
0.011999999999999997,4.030652070876118e-06,-4.719697387113403e-06
0.051047286726191535,3.310642345103964e-06,1.930148601992248e-06
0.07068526106110004,1.5642026304380067e-06,-9.55935787501506e-07
