     Node ID,     X Coord,     Y Coord,           Y
       12060,  5.5350e+01, -8.1875e-03, -2.4158e-02
       12061,  5.5500e+01, -8.1250e-03, -2.4063e-02
       12062,  5.5650e+01, -8.0625e-03, -2.3968e-02
       12063,  5.5800e+01, -8.0000e-03, -2.3872e-02
       12064,  5.5950e+01, -7.9375e-03, -2.3776e-02
       12065,  5.6100e+01, -7.8750e-03, -2.3679e-02
       12066,  5.6250e+01, -7.8125e-03, -2.3582e-02
       12067,  5.6400e+01, -7.7500e-03, -2.3484e-02
       12068,  5.6550e+01, -7.6875e-03, -2.3386e-02
       12069,  5.6700e+01, -7.6250e-03, -2.3287e-02
       12070,  5.6850e+01, -7.5625e-03, -2.3188e-02
       12071,  5.7000e+01, -7.5000e-03, -2.3088e-02
       12072,  5.7150e+01, -7.4375e-03, -2.2988e-02
       12073,  5.7300e+01, -7.3750e-03, -2.2887e-02
       12074,  5.7450e+01, -7.3125e-03, -2.2786e-02
       12075,  5.7600e+01, -7.2500e-03, -2.2684e-02
       12076,  5.7750e+01, -7.1875e-03, -2.2582e-02
       12077,  5.7900e+01, -7.1250e-03, -2.2479e-02
       12078,  5.8050e+01, -7.0625e-03, -2.2376e-02
       12079,  5.8200e+01, -7.0000e-03, -2.2272e-02
       12080,  5.8350e+01, -6.9375e-03, -2.2168e-02
       12081,  5.8500e+01, -6.8750e-03, -2.2064e-02
       12082,  5.8650e+01, -6.8125e-03, -2.1958e-02
       12083,  5.8800e+01, -6.7500e-03, -2.1853e-02
       12084,  5.8950e+01, -6.6875e-03, -2.1746e-02
       12085,  5.9100e+01, -6.6250e-03, -2.1640e-02
       12086,  5.9250e+01, -6.5625e-03, -2.1532e-02
       12087,  5.9400e+01, -6.5000e-03, -2.1424e-02
       12088,  5.9550e+01, -6.4375e-03, -2.1316e-02
       12089,  5.9700e+01, -6.3750e-03, -2.1207e-02
       12090,  5.9850e+01, -6.3125e-03, -2.1097e-02
       12091,  6.0000e+01, -6.2500e-03, -2.0987e-02
       12092,  6.0150e+01, -6.1875e-03, -2.0876e-02
       12093,  6.0300e+01, -6.1250e-03, -2.0765e-02
       12094,  6.0450e+01, -6.0625e-03, -2.0653e-02
       12095,  6.0600e+01, -6.0000e-03, -2.0540e-02
       12096,  6.0750e+01, -5.9375e-03, -2.0427e-02
       12097,  6.0900e+01, -5.8750e-03, -2.0313e-02
       12098,  6.1050e+01, -5.8125e-03, -2.0199e-02
       12099,  6.1200e+01, -5.7500e-03, -2.0084e-02
       12100,  6.1350e+01, -5.6875e-03, -1.9968e-02
       12101,  6.1500e+01, -5.6250e-03, -1.9852e-02
       12102,  6.1650e+01, -5.5625e-03, -1.9735e-02
       12103,  6.1800e+01, -5.5000e-03, -1.9617e-02
       12104,  6.1950e+01, -5.4375e-03, -1.9499e-02
       12105,  6.2100e+01, -5.3750e-03, -1.9380e-02
       12106,  6.2250e+01, -5.3125e-03, -1.9260e-02
