x,y_upper,y_lower,uy_upper,uy_lower,node_upper,node_lower,dx_match,r,cod,KI
0.06484999999999999,7.5075e-08,-7.5075e-08,2.1043e-06,-2.0872e-06,11673,11672,0.0,0.00015000000000001124,4.1915000000000004e-06,7838648.045593415
0.06470000000000001,1.5015e-07,-1.5015e-07,2.984e-06,-2.9783000000000004e-06,11674,11671,0.0,0.0002999999999999947,5.9623000000000005e-06,7884433.981496488
0.06455,2.2523e-07,-2.2523e-07,3.7507e-06,-3.7337999999999997e-06,11675,11670,0.0,0.00045000000000000595,7.484499999999999e-06,8081162.874359784
0.064399,3.003e-07,-3.003e-07,4.3631e-06,-4.344200000000001e-06,11676,11669,0.0,0.0006010000000000043,8.7073e-06,8135113.114960052
0.064249,3.7537999999999996e-07,-3.7537999999999996e-07,4.9054e-06,-4.8857e-06,11677,11668,0.0,0.0007510000000000017,9.791099999999998e-06,8183306.955278103
0.064099,4.5045e-07,-4.5045e-07,5.3922e-06,-5.3723e-06,11678,11667,0.0,0.000900999999999999,1.07645e-05,8213888.264578538
0.063949,5.2553e-07,-5.2553e-07,5.8393e-06,-5.8194e-06,11679,11666,0.0,0.0010509999999999964,1.16587e-05,8236943.620467422
0.063799,6.006e-07,-6.006e-07,6.2547000000000004e-06,-6.234800000000001e-06,11680,11665,0.0,0.0012010000000000076,1.2489500000000001e-05,8254501.918060017
0.063649,6.7568e-07,-6.7568e-07,6.6444e-06,-6.6247e-06,11681,11664,0.0,0.001351000000000005,1.3269100000000001e-05,8268583.504674619
0.063498,7.5075e-07,-7.5075e-07,7.0128e-06,-6.993100000000001e-06,11682,11663,0.0,0.0015020000000000033,1.4005900000000001e-05,8277389.256812229
0.063348,8.258300000000001e-07,-8.258300000000001e-07,7.3631e-06,-7.3434e-06,11683,11662,0.0,0.0016520000000000007,1.4706499999999999e-05,8287463.523910228
0.063198,9.009e-07,-9.009e-07,7.697700000000001e-06,-7.6779e-06,11684,11661,0.0,0.001801999999999998,1.5375600000000002e-05,8296062.26661326
0.063048,9.7598e-07,-9.7598e-07,8.0185e-06,-7.9987e-06,11685,11660,0.0,0.0019519999999999954,1.60172e-05,8303554.030804736
0.06289800000000001,1.0511e-06,-1.0511e-06,8.3271e-06,-8.3074e-06,11686,11659,0.0,0.0021019999999999928,1.6634499999999998e-05,8310185.5278483555
0.062748,1.1261000000000001e-06,-1.1261000000000001e-06,8.6248e-06,-8.6052e-06,11687,11658,0.0,0.002252000000000004,1.7230000000000003e-05,8316075.211864489
0.062598,1.2012e-06,-1.2012e-06,8.9125e-06,-8.893399999999999e-06,11688,11657,0.0,0.0024020000000000014,1.78059e-05,8321368.4628161965
0.062447,1.2763e-06,-1.2763e-06,9.191400000000001e-06,-9.172700000000001e-06,11689,11656,0.0,0.0025529999999999997,1.8364100000000003e-05,8324565.326486468
0.062297,1.3514e-06,-1.3514e-06,9.462099999999999e-06,-9.4436e-06,11690,11655,0.0,0.002703000000000004,1.8905699999999998e-05,8328888.792667509
0.062147,1.4264e-06,-1.4264e-06,9.7254e-06,-9.707e-06,11691,11654,0.0,0.0028530000000000014,1.94324e-05,8332836.869492975
0.061997000000000003,1.5015e-06,-1.5015e-06,9.981800000000002e-06,-9.963800000000001e-06,11692,11653,0.0,0.0030029999999999987,1.99456e-05,8336557.7546627745
0.061847,1.5766e-06,-1.5766e-06,1.0232e-05,-1.0214e-05,11693,11652,0.0,0.003153000000000003,2.0446e-05,8339954.767900854
0.061697,1.6517000000000002e-06,-1.6517000000000002e-06,1.0476e-05,-1.0459e-05,11694,11651,0.0,0.0033030000000000004,2.0935e-05,8343264.319907472
0.061547,1.7267000000000001e-06,-1.7267000000000001e-06,1.0715000000000002e-05,-1.0698e-05,11695,11650,0.0,0.0034530000000000047,2.1413e-05,8346349.217635742
0.061396,1.8018e-06,-1.8018e-06,1.0948e-05,-1.0932000000000001e-05,11696,11649,0.0,0.003604000000000003,2.188e-05,8347804.135304856
0.061246,1.8769e-06,-1.8769e-06,1.1177e-05,-1.1161e-05,11697,11648,0.0,0.0037540000000000004,2.2338000000000002e-05,8350538.383298766
0.061096,1.952e-06,-1.952e-06,1.1401e-05,-1.1385e-05,11698,11647,0.0,0.0039040000000000047,2.2786000000000002e-05,8352769.8029806
0.060946,2.0270000000000002e-06,-2.0270000000000002e-06,1.1621e-05,-1.1605000000000002e-05,11699,11646,0.0,0.004054000000000002,2.3226e-05,8355065.783775957
0.060796,2.1021e-06,-2.1021e-06,1.1837e-05,-1.1821e-05,11700,11645,0.0,0.004203999999999999,2.3658000000000003e-05,8357261.623209189
0.060646000000000005,2.1771999999999997e-06,-2.1771999999999997e-06,1.2048e-05,-1.2033e-05,11701,11644,0.0,0.004353999999999997,2.4081000000000002e-05,8358871.125975997
0.060495,2.2523e-06,-2.2523e-06,1.2257000000000001e-05,-1.2241999999999999e-05,11702,11643,0.0,0.004505000000000002,2.4499e-05,8360231.128385389
0.060345,2.3273e-06,-2.3273e-06,1.2462e-05,-1.2447e-05,11703,11642,0.0,0.004654999999999999,2.4909e-05,8362069.525624739
0.060195,2.4024e-06,-2.4024e-06,1.2663e-05,-1.2649e-05,11704,11641,0.0,0.004805000000000004,2.5312e-05,8363673.873901485
0.060045,2.4775e-06,-2.4775e-06,1.2862e-05,-1.2847e-05,11705,11640,0.0,0.004955000000000001,2.5709e-05,8365283.792538536
0.059895000000000004,2.5526e-06,-2.5526e-06,1.3056999999999999e-05,-1.3043e-05,11706,11639,0.0,0.005104999999999998,2.6099999999999997e-05,8366810.99157451
0.059745,2.6276e-06,-2.6276e-06,1.325e-05,-1.3236e-05,11707,11638,0.0,0.005255000000000003,2.6486e-05,8368494.570169665
0.059595,2.7027000000000004e-06,-2.7027000000000004e-06,1.3439e-05,-1.3426000000000002e-05,11708,11637,0.0,0.005405,2.6865e-05,8369631.166694919
0.059444000000000004,2.7778e-06,-2.7778e-06,1.3627e-05,-1.3613e-05,11709,11636,0.0,0.0055559999999999984,2.724e-05,8370344.040213208
0.059294,2.8529e-06,-2.8529e-06,1.3811e-05,-1.3797999999999999e-05,11710,11635,0.0,0.005706000000000003,2.7609e-05,8371477.556073875
0.059144,2.9279000000000004e-06,-2.9279000000000004e-06,1.3993e-05,-1.398e-05,11711,11634,0.0,0.005856,2.7972999999999998e-05,8372513.094701767
0.058994,3.003e-06,-3.003e-06,1.4173e-05,-1.4160000000000002e-05,11712,11633,0.0,0.006006000000000004,2.8333e-05,8373696.610946508
0.058844,3.0781e-06,-3.0781e-06,1.4350999999999999e-05,-1.4338e-05,11713,11632,0.0,0.006156000000000002,2.8689e-05,8374973.2597193355
0.058694,3.1532e-06,-3.1532e-06,1.4527e-05,-1.4513e-05,11714,11631,0.0,0.006305999999999999,2.904e-05,8376005.48306898
0.058544,3.2282000000000003e-06,-3.2282000000000003e-06,1.47e-05,-1.4687e-05,11715,11630,0.0,0.006456000000000003,2.9387000000000002e-05,8377044.379946249
0.058393,3.3032999999999998e-06,-3.3032999999999998e-06,1.4872000000000001e-05,-1.4858e-05,11716,11629,0.0,0.006607000000000002,2.973e-05,8377415.96275592
0.058243,3.3784e-06,-3.3784e-06,1.5041e-05,-1.5027e-05,11717,11628,0.0,0.006756999999999999,3.0068e-05,8378087.779236197
0.058093000000000006,3.4535e-06,-3.4535e-06,1.5209000000000001e-05,-1.5193999999999999e-05,11718,11627,0.0,0.0069069999999999965,3.0403e-05,8378939.133980865
0.057943,3.5285e-06,-3.5285e-06,1.5374000000000002e-05,-1.5360000000000002e-05,11719,11626,0.0,0.007057000000000001,3.073400000000001e-05,8379659.124616889
0.057793,3.6036e-06,-3.6036e-06,1.5538e-05,-1.5523e-05,11720,11625,0.0,0.007207000000000005,3.1061e-05,8380221.480266244
0.057643,3.6787e-06,-3.6787e-06,1.57e-05,-1.5685e-05,11721,11624,0.0,0.007357000000000002,3.1385e-05,8380869.516951544
0.057492,3.7538e-06,-3.7538e-06,1.586e-05,-1.5845e-05,11722,11623,0.0,0.007508000000000001,3.1705e-05,8380751.23434603
0.057342,3.8288e-06,-3.8288e-06,1.6018e-05,-1.6004e-05,11723,11622,0.0,0.007658000000000005,3.2022e-05,8381236.512852733
0.057192,3.9039e-06,-3.9039e-06,1.6175e-05,-1.616e-05,11724,11621,0.0,0.0078080000000000024,3.2335e-05,8381471.779901317
0.057042,3.979e-06,-3.979e-06,1.633e-05,-1.6316e-05,11725,11620,0.0,0.007958,3.2646e-05,8381955.156554874
0.056892000000000005,4.0541e-06,-4.0541e-06,1.6484e-05,-1.6469e-05,11726,11619,0.0,0.008107999999999997,3.2953e-05,8382149.694105913
0.056742,4.1291e-06,-4.1291e-06,1.6636e-05,-1.6622e-05,11727,11618,0.0,0.008258000000000001,3.3258e-05,8382547.322405921
0.056591999999999996,4.2042e-06,-4.2042e-06,1.6787e-05,-1.6771999999999998e-05,11728,11617,0.0,0.008408000000000006,3.3558999999999995e-05,8382623.948091687
0.056441000000000005,4.2793e-06,-4.2793e-06,1.6936e-05,-1.6921999999999998e-05,11729,11616,0.0,0.008558999999999997,3.3858e-05,8382375.4972999105
0.056291,4.354399999999999e-06,-4.354399999999999e-06,1.7083999999999998e-05,-1.7069999999999998e-05,11730,11615,0.0,0.008709000000000001,3.4154e-05,8382522.9851902
0.056140999999999996,4.4294e-06,-4.4294e-06,1.7231e-05,-1.7216e-05,11731,11614,0.0,0.008859000000000006,3.4447000000000004e-05,8382554.357800649
0.055991,4.5045e-06,-4.5045e-06,1.7376e-05,-1.7361000000000002e-05,11732,11613,0.0,0.009009000000000003,3.4737e-05,8382457.097593359
0.055841,4.579599999999999e-06,-4.579599999999999e-06,1.752e-05,-1.7505e-05,11733,11612,0.0,0.009159,3.5025e-05,8382459.013396195
