a,KI
0.01,10205562.20045523
0.015,13588583.586140478
0.02,16646301.545344377
0.025,19710366.88882949
0.03,23296002.18744703
0.035,27063034.231005955
0.04,30677763.278679036
0.045,34332166.59795347
0.05,39546586.15606124
0.055,44503855.495251216
